state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Rasunchak,Rasunchak,1343738,6903467,420145449,Deep Tubewell,Ground Water,Shambhu Hemrom,Gram Panchayat,2014-2015,0.8,0.8,02-Sep-14,25-Sep-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Paharchak,Paharchak Adibasipara,1343739,6903467,420145446,Deep Tubewell,Ground Water,Bankim Hemrom,Gram Panchayat,2014-2015,0.8,0.8,02-Sep-14,25-Sep-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Tanthua,Talhua Mondalpara,1342760,6903467,420145437,Deep Tubewell,Ground Water,Madam Mondal,Gram Panchayat,2014-2015,0.8,0.8,02-Sep-14,25-Sep-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jhentla,Jhetla,Berapara,1343672,6908582,420150753,Deep Tubewell,Ground Water,Shaktipada Bera,Gram Panchayat,2014-2015,0.8,0.8,10-Oct-14,25-Oct-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jhentla,Jhetla,Ghoshpara,1343673,6908582,420150757,Deep Tubewell,Ground Water,Primary School,Gram Panchayat,2014-2015,0.8,0.8,10-Oct-14,25-Oct-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jhentla,Jhetla,Ghoshpara,1343673,6908582,420150758,Deep Tubewell,Ground Water,High School(Out),Gram Panchayat,2014-2015,0.8,0.8,10-Oct-14,25-Oct-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Lakshman Chak,Lakshmanchak,1342823,6910219,420152125,Deep Tubewell,Ground Water,Keosa Bazar,Gram Panchayat,2014-2015,0.82,0.82,08-Oct-14,28-Oct-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Sirsa,Emua,Emua,1342693,6918967,420162887,Deep Tubewell,Ground Water,Prashanta Digar,Gram Panchayat,2014-2015,0.84,0.84,12-Oct-14,10-Nov-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Sirsa,Maharajpur,Muslimpara,1342640,6918967,420162893,Deep Tubewell,Ground Water,Vim Tola I.C.D.S.,Gram Panchayat,2014-2015,0.84,0.84,12-Oct-14,10-Nov-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Dhalhara,Dakshin Parshura,Fatir Chak,1343556,6918987,420162928,Deep Tubewell,Ground Water,Ratan Dandapat,Gram Panchayat,2014-2015,0.84,0.84,12-Oct-14,10-Nov-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Anandapur,Anandapur,Majhipara,1343208,6905402,420147377,Deep Tubewell,Ground Water,Primary School(Out Side),Gram Panchayat,2014-2015,0.86,0.86,02-Sep-14,25-Sep-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jhentla,Randa,Randa,1343678,6921265,420165621,Deep Tubewell,Ground Water,Kanu Mandal,Gram Panchayat,2014-2015,0.8,0.8,02-Nov-14,11-Apr-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Pakurya,Pakuria Samantapara,1343815,6921595,420165982,Deep Tubewell,Ground Water,Bimal Samanta,Gram Panchayat,2014-2015,0.82,0.82,12-Nov-14,10-May-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Pakurya,Jetarpara,1343816,6921595,420165994,Deep Tubewell,Ground Water,Pakuria chintamani Adarsha Vidyalaya,Gram Panchayat,2014-2015,0.82,0.82,12-Nov-14,10-May-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Charka,Patna Para,1343171,6921595,420165978,Deep Tubewell,Ground Water,Primary School,Gram Panchayat,2014-2015,0.82,0.82,12-Nov-14,10-May-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Khasla,Khasla,1343167,6921595,420165980,Deep Tubewell,Ground Water,Mir Gousar Ali,Gram Panchayat,2014-2015,0.82,0.82,12-Nov-14,10-May-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Raipukuria Gholai,Mondalpara,1343814,6921616,420166005,Deep Tubewell,Ground Water,Ganesh Majhi,Gram Panchayat,2014-2015,0.84,0.84,12-Nov-14,05-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Maisha,Patarpara,1343806,6921616,420166002,Deep Tubewell,Ground Water,Bimal Soren,Gram Panchayat,2014-2015,0.84,0.84,12-Nov-14,05-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Teghori,Mejura,Ghatna Para,1343067,6922745,420167705,Deep Tubewell,Ground Water,Primary School,Gram Panchayat,2014-2015,0.86,0.86,14-Nov-14,20-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Mugbasan,Sankua,Sankua,1342886,6925205,420170441,Deep Tubewell,Ground Water,Sk Irfan Ali,Gram Panchayat,2014-2015,0.84,0.84,10-Dec-14,30-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Mugbasan,Jambani,Jambani,1766554,6925241,420170466,Deep Tubewell,Ground Water,Sk Burhan,Gram Panchayat,2014-2015,0.86,0.86,10-Dec-14,30-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Mugbasan,Bejara,Belara,1342874,6925241,420170468,Deep Tubewell,Ground Water,Enamul Hok,Gram Panchayat,2014-2015,0.86,0.86,10-Dec-14,30-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Ranjita,Ranjita,1342828,6929575,420173649,Deep Tubewell,Ground Water,Sk Jafor Ali,Gram Panchayat,2014-2015,0.86,0.86,06-Oct-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Mugbasan,Bejara,Belara,1342874,6929645,420173686,Deep Tubewell,Ground Water,Sk Kasem Ali,Gram Panchayat,2014-2015,0.86,0.86,12-Oct-14,25-Dec-14,03-06-2024
